	P1	P2
879	CBLB	CRK
880	CBLB	CRKL
881	CBLB	CSK
882	CBLB	DAB2
886	CBLB	EPOR
887	CBLB	ERBB2
889	CBLB	FLNA
890	CBLB	FYN
891	CBLB	FYN
894	CBLB	GRB10
895	CBLB	GRB2
898	CBLB	HD
900	CBLB	JAK1
904	CBLB	LYN
905	CBLB	MET
908	CBLB	PIK3R2
909	CBLB	PTK2
911	CBLB	PTPN12
912	CBLB	SHC1
915	CBLB	SRC
916	CBLB	STAT1
917	CBLB	STAT3
919	CBLB	STAT5B
924	CBLB	WASL
925	CCNA2	AKT1
926	CCNA2	CCNB1
927	CCNA2	CCNB2
928	CCNA2	CCND1
930	CCNA2	CCNH
932	CCNA2	CDK2
933	CCNA2	CDK4
934	CCNA2	CDK7
936	CCNA2	E2F4
937	CCNA2	HDAC1
938	CCNA2	ID2
939	CCNA2	MCM7
942	CCNA2	SP1
944	CCNB1	CCNA2
945	CCNB1	CCNB2
950	CCNB1	CDC25C
951	CCNB1	CDC42
952	CCNB1	CDK2
953	CCNB1	CDK4
954	CCNB1	CTNNB1
955	CCNB1	FLNA
956	CCNB1	FOXO1A
958	CCNB1	FZR1
959	CCNB1	GIT1
960	CCNB1	HDAC6
961	CCNB1	HES1
962	CCNB1	HSPA8
963	CCNB1	ID2
965	CCNB1	MCM7
966	CCNB1	PKN1
967	CCNB1	PRKCA
969	CCNB1	PSMC2
970	CCNB1	RAC1
972	CCNB1	TP53
973	CCNB1	TRAF2
974	CCNB2	ABL1
976	CCNB2	CCNA2
977	CCNB2	CCNB1
979	CCNB2	CCNH
983	CCNB2	CDC25C
984	CCNB2	CDK2
985	CCNB2	CDK7
986	CCNB2	CDKN1A
987	CCNB2	ETS1
988	CCNB2	FOXO1A
990	CCNB2	FZR1
991	CCNB2	ID3
992	CCNB2	MCM5
993	CCNB2	MCM7
994	CCNB2	PRKCA
996	CCNB2	PSMC2
998	CCNB2	RBL2
999	CCNB2	RPS11
1002	CCND1	CCNA2
1003	CCND1	CDK4
1004	CCND1	CDKN1A
1006	CCND1	DYRK1A
1007	CCND1	HDAC1
1008	CCND1	HDAC2
1010	CCND1	PRKCI
1013	CCND1	SMAD3
1035	CCNH	CCNA2
1036	CCNH	CCNB2
1039	CCNH	CDK2
1040	CCNH	CDK7
1042	CCNH	CTNNB1
1043	CCNH	FZR1
1044	CCNH	ITGB4BP
1045	CCNH	LYN
1046	CCNH	MCM5
1059	CD44	CASP3
1060	CD44	ERBB2
1066	CD44	PRKCI
1069	CD44	SMAD3
1071	CD44	TGFB1
1089	CDC16	CCNA2
1090	CDC16	CCNB2
1094	CDC16	CDK2
1095	CDC16	CDK7
1097	CDC16	CTNNB1
1098	CDC16	FZR1
1099	CDC16	FZR1
1100	CDC16	ITGB4BP
1101	CDC16	LYN
1102	CDC16	MCM5
1103	CDC16	PSMC2
1176	CDC25C	CAMK2D
1177	CDC25C	CCNA2
1178	CDC25C	CCNB1
1179	CDC25C	CCNB2
1182	CDC25C	CDK2
1183	CDC25C	CDKN1A
1184	CDC25C	FLNA
1185	CDC25C	MAPK14
1186	CDC25C	PIN1
1187	CDC25C	PKN1
1188	CDC25C	TP53
1196	CDC37	FZR1
1197	CDC37	HDAC1
1198	CDC37	HDAC2
1199	CDC42	AKT1
1202	CDC42	PAK1
1206	CDC42	PRKCI
1208	CDC42	SRC
1211	CDC42	WASL
1213	CDK2	CCNA2
1214	CDK2	CCNB1
1215	CDK2	CCNB2
1216	CDK2	CCNH
1220	CDK2	CDC25C
1221	CDK2	CDK4
1222	CDK2	CDK7
1223	CDK2	CDKN1A
1225	CDK2	CTNNB1
1228	CDK2	FZR1
1229	CDK2	GIT1
1230	CDK2	HDAC2
1231	CDK2	ID2
1232	CDK2	MCM5
1233	CDK2	MCM7
1234	CDK2	PRKCA
1236	CDK2	PSMC2
1238	CDK2	SMAD1
1240	CDK2	STAT1
1246	CDK4	CCNA2
1247	CDK4	CCNB1
1248	CDK4	CCND1
1249	CDK4	CDK2
1251	CDK4	CDKN1A
1253	CDK4	CTCF
1255	CDK4	MCM5
1256	CDK4	MCM7
1258	CDK4	PRKACA
1261	CDK4	SMAD1
1263	CDK4	SMAD3
1264	CDK4	SP1
1265	CDK4	TGFB1
1272	CDK7	APC
1275	CDK7	CASP2
1276	CDK7	CCNA2
1277	CDK7	CCNB2
1278	CDK7	CCNH
1280	CDK7	CDK2
1283	CDK7	FRAP1
1284	CDK7	FZR1
1285	CDK7	ID2
1286	CDK7	ID3
1287	CDK7	MAPK14
1289	CDK7	TP53
1290	CDKN1A	CCNB2
1291	CDKN1A	CCND1
1293	CDKN1A	CDC25C
1294	CDKN1A	CDK2
1295	CDKN1A	CDK4
1296	CDKN1A	FZR1
1297	CDKN1A	HDAC1
1298	CDKN1A	HDAC2
1344	CIAP1	AKT1
1345	CIAP1	CASP3
1346	CIAP1	CASP7
1350	CIAP1	FADD
1352	CIAP1	NFKB1
1353	CIAP1	RIPK1
1357	CIAP1	TRAF2
1378	CIN85	AP2B1
1380	CIN85	CBL
1381	CIN85	CBLB
1382	CIN85	CDC42
1383	CIN85	DAB2
1386	CIN85	EPS15
1387	CIN85	GRB2
1388	CIN85	HGS
1390	CIN85	MAP3K4
1391	CIN85	MET
1394	CIN85	SPRY2
1395	CIN85	SRC
1397	CIR	HDAC1
1398	CIR	HDAC2
1399	CIR	HDAC6
1401	CIR	NCOR1
1403	CIR	SAP18
1405	CIR	SNW1
1406	CK2A1	APPL2
1407	CK2A1	CTNNB1
1408	CK2A1	DVL1
1409	CK2A1	DVL2
1410	CK2A1	DVL3
1411	CK2A1	FOS
1412	CK2A1	HDAC1
1413	CK2A1	HDAC2
1416	CK2A1	MYC
1417	CK2A1	PLD2
1418	CK2A1	RBBP7
1419	CK2A1	RELA
1421	CK2A2	CDC37
1422	CK2A2	CTNNB1
1423	CK2A2	DVL1
1424	CK2A2	DVL2
1425	CK2A2	DVL3
1426	CK2A2	FOS
1427	CK2A2	HDAC1
1429	CK2A2	MYC
1430	CK2A2	PIN1
1432	CK2A2	RELA
1434	CK2B	CSNK1A1
1435	CK2B	CSNK1D
1436	CK2B	CSNK1E
1437	CK2B	FAF1
1438	CK2B	GSK3B
1440	CK2B	MTIF2
1447	CLTC	EPS15
1448	CLTC	HDAC1
1449	CLTC	HDAC2
1450	CLTC	HGS
1451	CLTC	KRT18
1452	CLTC	NUP153
1453	CLTC	PAPOLA
1455	CLTC	SMAD3
1456	CLTC	WASL
1464	COPS3	COPS5
1468	COPS3	PSMD4
1469	COPS3	SMAD1
1470	COPS5	COPS3
1473	COPS5	SMAD3
1519	CRK	ABL1
1521	CRK	CSK
1523	CRK	ERBB2
1525	CRK	FYN
1526	CRK	GRB2
1528	CRK	JAK1
1532	CRK	LYN
1533	CRK	MET
1535	CRK	PTK2
1537	CRK	SRC
1538	CRK	STAT1
1539	CRK	STAT3
1543	CRKL	ABL1
1544	CRKL	APP
1549	CRKL	CAV1
1550	CRKL	CBL
1551	CRKL	CBLB
1552	CRKL	CDC42
1558	CRKL	CSK
1559	CRKL	CSNK1E
1562	CRKL	EPOR
1564	CRKL	FYN
1566	CRKL	GIT1
1569	CRKL	GRB10
1571	CRKL	GRB2
1574	CRKL	JAK1
1578	CRKL	LYN
1579	CRKL	MET
1580	CRKL	NCK2
1582	CRKL	PIK3R2
1583	CRKL	PPP2CA
1584	CRKL	PRKCA
1587	CRKL	PTK2
1589	CRKL	PTPN12
1590	CRKL	RAC1
1592	CRKL	SMAD3
1596	CRKL	SOCS5
1598	CRKL	SRC
1599	CRKL	STAT1
1600	CRKL	STAT2
1601	CRKL	STAT3
1603	CRKL	STAT5B
1606	CRKL	TRAF2
1609	CRKL	WASL
1610	CRM1	APC
1611	CRM1	CCNB1
1612	CRM1	CRK
1613	CRM1	CTNNB1
1616	CRM1	HDAC1
1617	CRM1	NFKB1
1618	CRM1	NUP153
1620	CRM1	RAN
1621	CRM1	RELA
1622	CRM1	STAT1
1623	CRM1	TP53
1648	CSK	ABL1
1652	CSK	CASP3
1653	CSK	CASP7
1655	CSK	CAV1
1656	CSK	CBL
1657	CSK	CBLB
1660	CSK	CRK
1661	CSK	CRKL
1663	CSK	CTBP1
1664	CSK	DAB2
1667	CSK	EPOR
1669	CSK	FYN
1670	CSK	FYN
1672	CSK	GRB10
1673	CSK	GRB2
1675	CSK	HD
1678	CSK	JAK1
1681	CSK	KPNA2
1683	CSK	LYN
1684	CSK	MET
1685	CSK	NCK2
1686	CSK	PIK3CD
1688	CSK	PIK3R2
1690	CSK	PLD2
1691	CSK	PRKAR1A
1692	CSK	PRKCA
1695	CSK	PTK2
1698	CSK	SHC1
1699	CSK	SHC1
1700	CSK	SMAD1
1702	CSK	SMAD3
1705	CSK	SRC
1706	CSK	STAT1
1707	CSK	STAT2
1708	CSK	STAT3
1710	CSK	STAT5B
1715	CSNK1D	CSNK1A1
1717	CSNK1D	DVL2
1718	CSNK1D	DVL3
1719	CSNK1D	IKBKAP
1720	CSNK1E	APC
1721	CSNK1E	CRKL
1723	CSNK1E	EPS15
1724	CSNK1E	FYN
1726	CSNK1E	IKBKAP
1729	CSNK1E	STAT5B
1732	CTBP1	CSK
1733	CTBP1	DAXX
1734	CTBP1	ETS1
1735	CTBP1	HD
1736	CTBP1	HDAC1
1739	CTBP1	NCOA3
1740	CTBP1	PIK3CD
1741	CTBP1	RELA
1743	CTBP1	SPEN
1744	CTBP1	STAT1
1745	CTBP1	STAT2
1749	CTBP2	HDAC1
1750	CTBP2	HDAC2
1753	CTCF	CDK4
1754	CTCF	SP1
1755	CTNNB1	APC
1757	CTNNB1	CASP3
1758	CTNNB1	CBL
1759	CTNNB1	CCNB1
1760	CTNNB1	CCNH
1761	CTNNB1	CDK2
1763	CTNNB1	FYN
1764	CTNNB1	HDAC1
1765	CTNNB1	HDAC2
1770	CTNNB1	NOTCH2
1772	CTNNB1	SMAD1
1774	CTNNB1	SMAD3
1778	CUL1	BTRC
1780	CUL1	CDK2
1781	CUL1	CDKN1A
1782	CUL1	COPS5
1783	CUL1	CTNNB1
1784	CUL1	FBXW7
1785	CUL1	FZR1
1786	CUL1	NFKB1
1787	CUL1	PSMD7
1788	CUL1	RBX1
1789	CUL1	SKP1
1790	CUL1	SKP2
1791	CUL1	SMAD3
1794	DAB2	CBL
1795	DAB2	CBLB
1796	DAB2	CSK
1798	DAB2	FYN
1799	DAB2	LYN
1800	DAB2	PIK3R2
1801	DAB2	SMAD1
1803	DAB2	SMAD3
1805	DAB2	STAT1
1807	DAB2	TGFB1
1808	DAB2	WASL
1809	DAP	FADD
1810	DAP	PML
1812	DAXX	CTBP1
1813	DAXX	FADD
1814	DAXX	HDAC1
1815	DAXX	KPNA2
1816	DAXX	RIPK1
1819	DAXX	SMAD3
1820	DAXX	SP1
1821	DAXX	STAT1
1827	DDEF1	ARF4
1828	DDEF1	CBL
1829	DDEF1	CBLB
1830	DDEF1	CRK
1831	DDEF1	GRB2
1833	DDEF1	PTK2
1834	DDEF1	PXN
1836	DDEF1	SRC
1838	DDX3	CCNA2
1840	DDX3	G3BP2
1841	DDX3	GSK3B
1842	DDX3	SP1
1908	DVL1	APC
1909	DVL1	ARRB2
1912	DVL1	CSNK1E
1913	DVL1	CTNNB1
1914	DVL1	CTNND1
1916	DVL1	DVL2
1917	DVL1	DVL3
1919	DVL1	FZD1
1921	DVL1	FZD4
1922	DVL1	FZD5
1923	DVL1	FZD6
1924	DVL1	FZD7
1926	DVL1	GSK3B
1930	DVL1	NOTCH2
1931	DVL1	RAC1
1934	DVL1	WNT5A
1935	DVL2	CSNK1A1
1936	DVL2	CSNK1D
1937	DVL2	DVL3
1939	DVL3	ARRB2
1940	DVL3	CSNK1A1
1941	DVL3	CSNK1D
1942	DVL3	DVL2
1946	DVL3	SMAD3
1947	DYRK1A	CCND1
1948	DYRK1A	HGS
1950	DYRK1A	SMAD1
1952	DYRK1A	SMAD3
1953	DYRK1A	TGFB1
1954	E2F4	CCNA2
1956	E2F5	CCNA2
1957	E2F5	E2F4
1960	E2F5	SMARCA4
1961	E2F5	STAT2
1962	E2F5	TP53
1963	E3B1	ABL1
1964	E3B1	AKT1
1965	E3B1	CDC42
1966	E3B1	CRK
1969	E3B1	EPS8
1972	E3B1	LYN
1973	E3B1	MYC
1974	E3B1	RAC1
1977	E3B1	SRC
1978	E3B1	WASL
1982	EBP1	ERBB2
1983	EBP1	HDAC2
1984	EBP1	KPNA3
1985	EBP1	PAK1
1986	EBP1	PRKCA
1987	EBP1	RPL30
1988	EBP1	RPL4
1989	EBP1	RPL8
1991	EF1A	BAD
1992	EF1A	UBE3A
2051	EIF3S2	PPP2CA
2052	EIF3S2	PSMD1
2053	EIF3S2	SMARCA4
2089	ENG	CD44
2091	ENG	SMAD1
2094	ENG	SP1
2095	ENG	TGFB1
2097	ENG	TGFB3
2099	ENG	TGFBR2
2101	EPOR	ABL1
2105	EPOR	CBL
2106	EPOR	CBLB
2107	EPOR	CRKL
2108	EPOR	CSK
2111	EPOR	FYN
2113	EPOR	GRB2
2114	EPOR	JAK1
2118	EPOR	LYN
2119	EPOR	PIK3R2
2122	EPOR	SRC
2123	EPOR	STAT1
2124	EPOR	STAT3
2126	EPOR	STAT5B
2129	EPOR	WASL
2132	EPS15	CASP3
2133	EPS15	CLTC
2134	EPS15	CSNK1E
2135	EPS15	ERBB2
2137	EPS15	GRB2
2138	EPS15	HGS
2141	EPS15	RPL8
2155	ERBB2	ABL1
2156	ERBB2	APC
2158	ERBB2	CAV1
2159	ERBB2	CBL
2160	ERBB2	CBLB
2161	ERBB2	CD44
2164	ERBB2	CRK
2167	ERBB2	EPS15
2170	ERBB2	FYN
2172	ERBB2	GRB10
2174	ERBB2	GRB2
2176	ERBB2	HGS
2179	ERBB2	KRT18
2180	ERBB2	KRT8
2182	ERBB2	LYN
2183	ERBB2	MET
2185	ERBB2	NCK2
2186	ERBB2	PIK3R2
2189	ERBB2	PLD2
2191	ERBB2	PRKCA
2192	ERBB2	PTK2
2194	ERBB2	RIPK1
2195	ERBB2	SHC1
2199	ERBB2	SRC
2200	ERBB2	STAT1
2201	ERBB2	STAT3
2203	ERBB2	STAT5B
2207	ERBB2	WASL
2208	ERK1	AKT1
2210	ERK1	ARRB2
2214	ERK1	BAD
2219	ERK1	CBL
2221	ERK1	CD44
2224	ERK1	CDK2
2225	ERK1	CDK4
2228	ERK1	COPS3
2230	ERK1	CRKL
2231	ERK1	CSK
2232	ERK1	CTNNB1
2233	ERK1	DYRK1A
2235	ERK1	EPOR
2237	ERK1	ETS1
2238	ERK1	FOS
2240	ERK1	FYN
2241	ERK1	FYN
2242	ERK1	GRB10
2243	ERK1	HDAC1
2244	ERK1	HGS
2245	ERK1	HSPA8
2246	ERK1	ID2
2247	ERK1	JAK1
2250	ERK1	JUNB
2252	ERK1	KRT18
2255	ERK1	LYN
2258	ERK1	NCK2
2259	ERK1	NCOA3
2263	ERK1	NUP153
2265	ERK1	PCAF
2267	ERK1	PIK3R2
2270	ERK1	PPP2CA
2271	ERK1	PRKACA
2272	ERK1	PRKCA
2274	ERK1	PRKCI
2278	ERK1	RAN
2280	ERK1	RBL2
2281	ERK1	RELA
2282	ERK1	RIPK1
2283	ERK1	SF1
2284	ERK1	SHC1
2286	ERK1	SMAD3
2288	ERK1	SMARCA4
2289	ERK1	SP1
2290	ERK1	SRC
2291	ERK1	STAT1
2292	ERK1	STAT3
2294	ERK1	STAT5B
2298	ERK1	TP53
2301	ERK1	VDR
2302	ERK1	WASL
2303	ERK2	AKT1
2305	ERK2	CBL
2306	ERK2	CBLB
2307	ERK2	CDK2
2309	ERK2	CRKL
2310	ERK2	EPOR
2312	ERK2	FYN
2313	ERK2	FYN
2314	ERK2	GRB2
2315	ERK2	HDAC1
2316	ERK2	JAK1
2319	ERK2	JUNB
2324	ERK2	PRKCI
2325	ERK2	PSMD4
2328	ERK2	SMAD1
2330	ERK2	SMAD3
2332	ERK2	STAT1
2333	ERK2	STAT2
2334	ERK2	STAT3
2336	ERK2	STAT5B
2339	ERK2	TP53
2353	ERM	CCND1
2355	ERM	PKN1
2356	ERM	PRKACA
2357	ERM	PRKCA
2390	ETS1	CCNB2
2393	ETS1	CTBP1
2394	ETS1	FOS
2395	ETS1	HDAC1
2398	ETS1	JUNB
2400	ETS1	KPNA2
2403	ETS1	RBL2
2405	ETS1	SMAD1
2407	ETS1	SMAD3
2408	ETS1	STAT1
2409	ETS1	STAT3
2413	FADD	CASP2
2418	FADD	DAXX
2419	FADD	FYN
2420	FADD	HSPA8
2422	FADD	KRT18
2423	FADD	NFKB2
2425	FADD	RIPK1
2426	FADD	STAT3
2428	FADD	STAT5B
2432	FAF1	HDAC1
2433	FAF1	HDAC2
2435	FANCD2	NCOA3
2436	FANCD2	TP53
2438	FBL	ITGB4BP
2440	FBL	PRMT1
2441	FBL	PSMD3
2442	FBXW7	CUL1
2443	FBXW7	RBX1
2507	FHL2	CCND1
2510	FHL2	CTNNB1
2512	FHL2	HIPK2
2513	FHL2	NFKB1
2515	FHL2	PTK2
2517	FHL2	SMAD3
2519	FHL2	TP53
2521	FKBP12	CCNB1
2522	FKBP12	FYN
2529	FKBP51	EIF3S2
2530	FKBP51	FZR1
2531	FKBP51	SMAD3
2557	FLNA	CASP3
2558	FLNA	CBL
2559	FLNA	CBLB
2560	FLNA	CCNB1
2561	FLNA	FYN
2563	FLNA	NOTCH2
2572	FOS	ETS1
2575	FOS	HDAC1
2576	FOS	HDAC2
2579	FOS	JUNB
2583	FOS	NCOA3
2585	FOS	PRKCA
2587	FOS	RELA
2588	FOS	RIPK1
2590	FOS	SMAD1
2592	FOS	SMAD3
2594	FOS	SP1
2595	FOS	STAT1
2596	FOS	STAT3
2598	FOS	STAT5B
2599	FOS	VDR
2624	FOXO1A	APC
2625	FOXO1A	CCNB1
2626	FOXO1A	CCNB2
2629	FOXO1A	KPNA2
2631	FOXO1A	PIAS1
2633	FOXO1A	SMAD1
