	P1	P2
3064	GRB10	ERBB2
3066	GRB10	FYN
3068	GRB10	GRB2
3070	GRB10	JAK1
3074	GRB10	LYN
3075	GRB10	MET
3077	GRB10	NCK2
3079	GRB10	PIK3R2
3080	GRB10	PTK2
3084	GRB10	SRC
3085	GRB10	STAT1
3086	GRB10	STAT3
3088	GRB10	STAT5B
3106	GRIM19	STAT3
3119	HAT1	RBBP7
3120	HBO1	E2F4
3122	HBO1	HDAC6
3123	HBO1	SMARCA4
3174	HD	CBL
3175	HD	CBLB
3176	HD	CSK
3177	HD	CTBP1
3178	HD	FYN
3179	HD	HDAC1
3180	HD	KPNA2
3185	HD	SMAD3
3187	HD	STAT1
3189	HD	WASL
3190	HDAC1	APC
3194	HDAC1	CASP2
3195	HDAC1	CCNA2
3196	HDAC1	CCND1
3198	HDAC1	CDC37
3199	HDAC1	CDKN1A
3201	HDAC1	CLTC
3203	HDAC1	CTBP1
3204	HDAC1	CTNNB1
3205	HDAC1	DAXX
3207	HDAC1	ETS1
3208	HDAC1	FAF1
3209	HDAC1	FOS
3210	HDAC1	HD
3211	HDAC1	HDAC2
3212	HDAC1	HDAC6
3214	HDAC1	KPNA2
3217	HDAC1	NCOR1
3219	HDAC1	PAPOLA
3220	HDAC1	PML
3223	HDAC1	RELA
3227	HDAC1	SMAD3
3229	HDAC1	SMARCE1
3231	HDAC1	SP1
3232	HDAC1	SPEN
3233	HDAC1	STAT1
3234	HDAC1	STAT2
3236	HDAC1	STAT5B
3238	HDAC1	TP53
3239	HDAC1	YY1
3242	HDAC2	CASP2
3243	HDAC2	CCND1
3245	HDAC2	CDC37
3246	HDAC2	CDK2
3247	HDAC2	CDKN1A
3248	HDAC2	CLTC
3250	HDAC2	CTNNB1
3251	HDAC2	FAF1
3252	HDAC2	FOS
3253	HDAC2	HDAC1
3255	HDAC2	MAPK14
3256	HDAC2	MCM5
3257	HDAC2	MCM7
3261	HDAC2	RELA
3267	HDAC2	SP1
3268	HDAC2	STAT1
3269	HDAC2	STAT2
3271	HDAC2	STAT5B
3272	HDAC2	TP53
3273	HDAC6	CCNB1
3274	HDAC6	HDAC1
3275	HDAC6	ITGB4BP
3289	HES1	CCNB1
3291	HES1	FYN
3293	HES1	ID1
3294	HES1	ID2
3295	HES1	ID3
3296	HES1	ID4
3298	HES1	JUNB
3299	HES1	LYN
3300	HES1	MYC
3303	HES1	NCOA3
3304	HES1	STAT1
3306	HES1	STAT5B
3307	HES1	TCF12
3338	HGS	ARRB2
3339	HGS	CLTC
3341	HGS	DYRK1A
3343	HGS	EPS15
3344	HGS	ERBB2
3345	HGS	JAK1
3347	HGS	KPNB1
3350	HGS	PRKACA
3351	HGS	RAN
3352	HGS	SMAD1
3354	HGS	SMAD3
3356	HGS	SNRPD2
3357	HGS	STK11
3361	HIP1	ABL1
3362	HIP1	CLTC
3363	HIP1	CRK
3364	HIP1	EPS15
3365	HIP1	SRC
3366	HIP1	WASL
3369	HIPK2	SMAD3
3370	HIPK2	SUMO2
3386	HSP90A	ANAPC5
3388	HSP90A	CBL
3390	HSP90A	CDC37
3391	HSP90A	COPS3
3392	HSP90A	CSK
3395	HSP90A	HDAC1
3396	HSP90A	HDAC2
3397	HSP90A	HSPA8
3398	HSP90A	MAPK14
3400	HSP90A	NUP153
3402	HSP90A	RELA
3404	HSP90A	STAT1
3406	HSP90A	STAT5B
3407	HSP90A	STUB1
3408	HSP90A	SUMO1
3409	HSP90A	SUMO2
3410	HSP90B	AP2B1
3413	HSP90B	HSPA8
3414	HSP90B	KPNA6
3415	HSP90B	MAPK14
3416	HSP90B	NUP153
3417	HSP90B	RUVBL1
3418	HSP90B	SUMO1
3420	HSPA8	APC
3421	HSPA8	BAG1
3422	HSPA8	CCNB1
3423	HSPA8	CLTC
3425	HSPA8	FADD
3426	HSPA8	FYN
3427	HSPA8	LYN
3428	HSPA8	NUP153
3429	HSPA8	PRKCI
3431	HSPA8	RAN
3432	HSPA8	STAT1
3434	HSPA8	STAT5B
3435	HSPA8	STUB1
3438	HSPA8	WASL
3447	ID1	HES1
3449	ID1	ID2
3450	ID1	ID3
3451	ID1	ID4
3453	ID2	CCNA2
3454	ID2	CCNB1
3455	ID2	CDK2
3456	ID2	CDK7
3458	ID2	HES1
3460	ID2	ID1
3461	ID2	ID3
3462	ID2	MITF
3463	ID2	MYC
3464	ID2	NCOA3
3467	ID3	CCNB2
3469	ID3	CDK7
3471	ID3	FZR1
3472	ID3	HES1
3474	ID3	ID1
3475	ID3	ID2
3476	ID3	ID4
3477	ID3	MITF
3478	ID3	MYC
3479	ID3	NCOA3
3480	ID3	TCF12
3484	ID4	HES1
3486	ID4	ID1
3487	ID4	ID3
3490	ID4	TCF12
3519	IKBA	CASP3
3523	IKBA	FAF1
3524	IKBA	FOS
3525	IKBA	FYN
3526	IKBA	HDAC1
3527	IKBA	HDAC2
3531	IKBA	KPNA2
3535	IKBA	PCAF
3536	IKBA	PPP2CA
3537	IKBA	PRKACA
3540	IKBA	RELA
3542	IKBA	SP1
3543	IKBA	STAT1
3544	IKBA	STAT3
3546	IKBA	STAT5B
3550	IKBKAP	CSNK1A1
3551	IKBKAP	CSNK1D
3552	IKBKAP	CSNK1E
3561	IKKB	CSK
3562	IKKB	CTBP1
3563	IKKB	KPNA2
3564	IKKB	RELA
3566	IKKB	SMAD3
3567	IKKB	STAT1
3603	ITGB4BP	CCNH
3604	ITGB4BP	FBL
3605	ITGB4BP	HDAC6
3606	ITGB4BP	POLR1B
3607	ITGB4BP	RPL4
3608	ITGB4BP	RPL8
3609	ITGB4BP	WDR12
3636	JAK1	ABL1
3639	JAK1	CBL
3640	JAK1	CBLB
3642	JAK1	CRK
3643	JAK1	CRKL
3645	JAK1	CSK
3647	JAK1	EPOR
3649	JAK1	FYN
3650	JAK1	FYN
3651	JAK1	GRB10
3652	JAK1	GRB2
3654	JAK1	HGS
3658	JAK1	LYN
3659	JAK1	MET
3661	JAK1	NCK2
3663	JAK1	PIK3R2
3665	JAK1	PTK2
3667	JAK1	PTPN12
3668	JAK1	SHC1
3671	JAK1	SRC
3672	JAK1	STAT1
3673	JAK1	STAT2
3674	JAK1	STAT3
3676	JAK1	STAT5B
3679	JAK1	WASL
3781	JNK1	FOS
3785	JNK1	SMAD1
3787	JNK1	SMAD3
3788	JNK1	STAT1
3790	JNK1	STAT5B
3849	JUNB	ETS1
3850	JUNB	FOS
3852	JUNB	GSK3B
3853	JUNB	HES1
3856	JUNB	MITF
3857	JUNB	PRKACA
3858	JUNB	RELA
3859	JUNB	SMAD1
3861	JUNB	SMAD3
3862	JUNB	STAT1
3970	KPNA2	APC
3976	KPNA2	CSK
3977	KPNA2	DAXX
3980	KPNA2	ETS1
3981	KPNA2	FOXO1A
3983	KPNA2	HD
3984	KPNA2	HDAC1
3987	KPNA2	KPNA6
3988	KPNA2	KPNB1
3990	KPNA2	NCOA3
3991	KPNA2	NUP153
3993	KPNA2	PCAF
3994	KPNA2	PIK3CD
3995	KPNA2	RAN
3996	KPNA2	RELA
3999	KPNA2	SMAD3
4001	KPNA2	SPEN
4002	KPNA2	STAT1
4003	KPNA2	STAT2
4006	KPNA2	TP53
4008	KPNA2	VDR
4009	KPNA3	KPNA6
4010	KPNA3	RAN
4011	KPNA6	AP2B1
4012	KPNA6	KPNA2
4013	KPNA6	KPNA3
4014	KPNA6	KPNB1
4016	KPNA6	RAN
4018	KPNA6	SNIP1
4020	KPNA6	STAT5B
4021	KPNA6	TP53
4022	KPNB1	ABL1
4024	KPNB1	GIT1
4025	KPNB1	HGS
4026	KPNB1	KPNA2
4027	KPNB1	KPNA6
4028	KPNB1	LAMR1
4029	KPNB1	NUP153
4031	KPNB1	RAN
4033	KPNB1	RPL4
4035	KPNB1	SMARCC2
4036	KPNB1	STAT1
4038	KPNB1	TRAF2
4043	KRT8	ERBB2
4044	KRT8	KRT18
4046	KRT17	KRT18
4048	KRT17	SFN
4049	KRT18	CBL
4052	KRT18	CLTC
4053	KRT18	ERBB2
4054	KRT18	FADD
4055	KRT18	FYN
4056	KRT18	KRT8
4060	KRT18	RIPK1
4064	LAMR1	KPNB1
4065	LAMR1	NCOA3
4067	LAMR1	PSMC2
4068	LAMR1	RAN
4069	LAMR1	RPL4
4070	LAMR1	RPL8
4071	LAMR1	SMAD3
4072	LAMR1	TP53
4144	LYN	ABL1
4149	LYN	CAV1
4150	LYN	CBL
4151	LYN	CBLB
4152	LYN	CCNH
4154	LYN	CRK
4155	LYN	CRKL
4157	LYN	CSK
4158	LYN	DAB2
4161	LYN	EPOR
4162	LYN	ERBB2
4164	LYN	FYN
4165	LYN	GJA1
4167	LYN	GRB10
4168	LYN	GRB2
4170	LYN	HES1
4171	LYN	HSPA8
4172	LYN	JAK1
4177	LYN	MET
4179	LYN	NCK2
4180	LYN	PIK3CD
4182	LYN	PIK3R2
4184	LYN	PLD2
4185	LYN	PRKCA
4188	LYN	PTK2
4190	LYN	PTPN12
4193	LYN	SHC1
4198	LYN	SOCS5
4199	LYN	SRC
4200	LYN	STAT1
4201	LYN	STAT2
4202	LYN	STAT3
4204	LYN	STAT5B
4206	LYN	TGFB1
4207	LYN	TGFBR2
4229	MAML1	CCND1
4231	MAML1	CTNNB1
4234	MAML1	HES1
4241	MAML1	NOTCH2
4242	MAML1	NOTCH3
4244	MAML1	PIAS1
4246	MAML1	SNW1
4247	MAML1	TP53
4271	MAP1B	PLD2
4275	MAP3K4	CDC42
4276	MAP3K4	DVL1
4277	MAP3K4	FLNA
4281	MAP3K4	PRKCA
4282	MAP3K4	PRKCB
4284	MAP3K4	RAC1
4286	MAPK14	ATF2
4288	MAPK14	CDC42
4292	MAPK14	KRT8
4296	MAPK14	MITF
4297	MAPK14	NCOA3
4298	MAPK14	NFKB1
4299	MAPK14	RAC1
4300	MAPK14	RELA
4301	MAPK14	SHC1
4302	MAPK14	SMAD3
4303	MAPK14	STAT1
4304	MAPK14	STAT3
4306	MAPK14	TAB2
4308	MAPK14	TP53
4320	MCM5	CCNB2
4321	MCM5	CCNH
4322	MCM5	CDK2
4323	MCM5	CDK4
4324	MCM5	HDAC2
4325	MCM5	MCM7
4329	MCM5	STAT1
4330	MCM5	TFDP1
4331	MCM7	CCNA2
4332	MCM7	CCNB1
4333	MCM7	CCNB2
4334	MCM7	CDK2
4335	MCM7	CDK4
4336	MCM7	GIT1
4337	MCM7	HDAC2
4338	MCM7	MCM5
4340	MCM7	TFDP1
4341	MCM7	TRAF2
4372	MEK1	AKT1
4373	MEK1	CDC42
4374	MEK1	HES1
4376	MEK1	MAPK14
4381	MEK1	SMAD3
4382	MEK1	WNT5A
4384	MEK2	MAPK14
4385	MEK3	ATF2
4389	MEK3	MAP3K4
4390	MEK3	MAPK14
4391	MEK3	NFKB1
4392	MEK3	PKN1
4393	MEK3	RAC1
4395	MEK3	RIPK1
4397	MEK3	TAB2
4399	MEK3	TP53
4458	MET	ABL1
4459	MET	APC
4462	MET	CBL
4463	MET	CBLB
4464	MET	CRK
4465	MET	CRKL
4466	MET	CSK
4468	MET	ERBB2
4470	MET	FYN
4471	MET	GRB10
4472	MET	GRB2
4474	MET	JAK1
4476	MET	LYN
4478	MET	NCK2
4479	MET	PIK3R2
4483	MET	RAN
4484	MET	SHC1
4488	MET	SRC
4489	MET	STAT1
4490	MET	STAT3
4492	MET	STAT5B
4496	MET	WASL
4500	MIG6	RPL30
4501	MIG6	RPL4
4502	MIG6	RPL6
4503	MIG6	RPL8
4504	MIG6	RPS11
4505	MIG6	UXT
4507	MITF	ID2
4508	MITF	ID3
4509	MITF	MYC
4510	MITF	NCOA3
4520	MKP1	FOS
4523	MKP1	JUNB
4524	MKP1	MAPK14
4526	MKP1	NFKB1
4528	MKP1	RAC1
4529	MKP1	SKP2
4532	MKP1	TP53
4613	MYC	HES1
4615	MYC	ID2
4616	MYC	ID3
4617	MYC	MITF
4618	MYC	NCOA3
4656	NCK2	ABL1
4660	NCK2	CBL
4661	NCK2	CRKL
4662	NCK2	CSK
4666	NCK2	ERBB2
4668	NCK2	FYN
4671	NCK2	GRB10
4673	NCK2	GRB2
4676	NCK2	JAK1
4680	NCK2	LYN
4681	NCK2	MET
4682	NCK2	PIK3R2
4683	NCK2	PTK2
4687	NCK2	SMAD1
4689	NCK2	SMAD3
4691	NCK2	SRC
4692	NCK2	STAT1
4693	NCK2	STAT3
4695	NCK2	STAT5B
4697	NCK2	TGFB1
4699	NCK2	WASL
4700	NCOA3	HES1
4702	NCOA3	ID2
4703	NCOA3	ID3
4704	NCOA3	MITF
4705	NCOA3	MYC
4707	NCOR1	HDAC1
4709	NFKB2	AKT1
4710	NFKB2	APP
4712	NFKB2	BTRC
4713	NFKB2	CCND1
4717	NFKB2	NFKB1
4719	NFKB2	RELA
4721	NFKB2	SP1
4723	NFKB2	TRAF2
4730	NGAP	AKT1
4731	NGAP	CAV2
4732	NGAP	CDK7
4733	NGAP	DAB2
4734	NGAP	HRAS
4735	NGAP	NFKB2
4737	NIK	AKT1
4738	NIK	CASP2
4740	NIK	FADD
4741	NIK	HSPA8
4744	NIK	NFKB1
4745	NIK	NFKB2
4746	NIK	RELA
4748	NIK	RIPK1
4749	NIK	SP1
4751	NIK	TP53
4754	NIK	TRAF2
4775	NKIRAS1	AKT1
4780	NKIRAS1	NFKB1
4781	NKIRAS1	NFKB2
4783	NKIRAS1	RELA
4786	NKIRAS1	TRAF2
4811	NOTCH2	CASP3
4812	NOTCH2	CTNNB1
4814	NOTCH2	FLNA
4818	NOTCH2	NOTCH3
4823	NOTCH2	SMAD3
4824	NOTCH3	CASP3
4826	NOTCH3	NOTCH2
4834	NR3C1	BAG1
4835	NR3C1	CALR
4837	NR3C1	FOS
4838	NR3C1	HDAC2
4839	NR3C1	HDAC6
4842	NR3C1	NCOA3
4843	NR3C1	NCOR1
4844	NR3C1	NFKB1
4845	NR3C1	RELA
4847	NR3C1	SMARCA4
4848	NR3C1	SP1
4849	NR3C1	STAT3
4851	NR3C1	STAT5B
4852	NR3C1	TP53
4880	NSMAF	GRB10
4881	NSMAF	MAP3K4
4884	NSMAF	TRAF2
4897	NUP153	EPS15
4898	NUP153	ERBB2
4899	NUP153	RANBP9
4924	P204	LYN
4926	PAF53	POLR1B
4927	PAK1	AKT1
4928	PAK1	CASP3
4929	PAK1	CDC42
4931	PAK1	FLNA
4932	PAK1	GIT1
4933	PAK1	GRB10
4934	PAK1	GRB2
4935	PAK1	NCK2
4936	PAK1	PXN
4937	PAK1	RAC1
4940	PAK1	RHOA
4947	PAPOLA	CTBP1
4948	PAPOLA	CUL1
4949	PAPOLA	HDAC1
4950	PAPOLA	KPNB1
4991	PCAF	KPNA2
4993	PCAF	SMAD1
4995	PCAF	SMAD3
4996	PCAF	SMARCA4
4997	PCAF	STAT1
4998	PCAF	STK11
5001	PCAF	TRAF2
5009	PEN2	APH1A
5011	PEN2	APP
5013	PEN2	CTNNB1
5018	PEN2	NOTCH2
5019	PEN2	NOTCH3
5024	PFDN2	SUMO1
5027	PIAS1	FOXO1A
5028	PIAS1	NCOA3
5030	PIAS1	PIK3CD
5034	PIAS1	SMAD3
5035	PIAS1	SPEN
5036	PIAS1	STAT1
5038	PIAS1	STAT5B
5039	PIAS1	SUMO2
5040	PIAS3	SMAD1
5046	PIAS4	SMAD3
5047	PIAS4	SMARCC2
5049	PIAS4	STAT5B
5050	PIAS4	SUMO1
5087	PIK3CD	CSK
5088	PIK3CD	CTBP1
5089	PIK3CD	KPNA2
5090	PIK3CD	LYN
5092	PIK3CD	PIAS1
5097	PIK3CD	SMAD3
5098	PIK3CD	STAT1
5117	PIK3R2	ABL1
5121	PIK3R2	CASP3
5122	PIK3R2	CBL
5123	PIK3R2	CBLB
5126	PIK3R2	CRKL
5128	PIK3R2	CSK
5129	PIK3R2	DAB2
5132	PIK3R2	EPOR
5133	PIK3R2	ERBB2
5135	PIK3R2	FYN
5138	PIK3R2	GRB10
5140	PIK3R2	GRB2
5143	PIK3R2	JAK1
5147	PIK3R2	LYN
5148	PIK3R2	MET
5150	PIK3R2	NCK2
5152	PIK3R2	PTK2
5155	PIK3R2	SMAD1
5157	PIK3R2	SMAD3
5161	PIK3R2	SRC
5162	PIK3R2	STAT1
5163	PIK3R2	STAT3
5165	PIK3R2	STAT5B
5168	PIK3R2	WASL
5169	PITPN	ARRB2
5170	PITPN	CAMK2D
5171	PITPN	CRK
5174	PKN1	APC
5175	PKN1	CCNB1
5176	PKN1	FYN
5179	PKN1	RELA
5230	PLD2	ARF4
5232	PLD2	CASP3
5233	PLD2	CSK
5234	PLD2	ERBB2
5240	PLD2	LYN
5241	PLD2	MAP1B
5246	PLD2	RAC1
5248	PLD2	SMAD3
5252	PML	HDAC1
5256	POLR1B	ITGB4BP
5260	POLR2H	POLR2L
5261	POLR2H	STAT5B
5262	POLR2L	POLR2H
5264	PPP2CA	CRKL
5265	PPP2CA	EIF3S2
5266	PPP2CA	FYN
5271	PPP2CA	STAT1
5272	PPP2CA	STAT3
5274	PPP2CA	STAT5B
5278	PRKACA	BAD
5279	PRKACA	CTNNB1
5281	PRKACA	GSK3B
5283	PRKACA	PRKAR1A
5286	PRKACA	PRKCA
5288	PRKACA	RELA
5294	PRKCA	AKT1
5296	PRKCA	CCNB1
5297	PRKCA	CCNB2
5299	PRKCA	CDK2
5300	PRKCA	CRKL
5301	PRKCA	CSK
5302	PRKCA	ERBB2
5304	PRKCA	FOS
5305	PRKCA	FYN
5308	PRKCA	GRB2
5310	PRKCA	LYN
5312	PRKCA	PRKACA
5315	PRKCA	SRC
5317	PRKCA	STAT5B
5322	PRKCB	GJA1
5324	PRKCB	JAK1
5329	PRKCB	PRKCA
5332	PRKCB	RHOA
5430	PRMT1	FBL
5475	PSMB5	PSMD4
5486	PSMC2	CCNB1
5487	PSMC2	CCNB2
5488	PSMC2	CDC16
5490	PSMC2	CDK2
5491	PSMC2	LAMR1
5493	PSMC2	PSMC3
5494	PSMC2	PSMD1
5496	PSMC2	PSMD13
5497	PSMC2	PSMD3
5498	PSMC2	PSMD4
5499	PSMC2	PSMD7
5504	PSMC3	PSMC2
5505	PSMC3	PSMD1
5507	PSMC3	PSMD13
5508	PSMC3	PSMD4
5509	PSMC3	PSMD7
5511	PSMD1	CLTC
5512	PSMD1	EIF3S2
5514	PSMD1	PSMC2
5515	PSMD1	PSMC3
5517	PSMD1	PSMD13
5518	PSMD1	PSMD3
5519	PSMD1	PSMD4
5520	PSMD1	PSMD7
5521	PSMD3	COPS3
5522	PSMD3	FBL
5524	PSMD3	PSMC2
5525	PSMD3	PSMD1
5527	PSMD3	PSMD13
5528	PSMD3	PSMD4
5529	PSMD3	PSMD7
5530	PSMD4	COPS3
5533	PSMD4	PSMB5
5535	PSMD4	PSMC2
5536	PSMD4	PSMC3
5537	PSMD4	PSMD1
5539	PSMD4	PSMD13
5540	PSMD4	PSMD3
5541	PSMD4	PSMD7
5542	PSMD4	RELA
5543	PSMD4	SUMO2
5545	PSMD4	TRAF2
5547	PSMD7	PSMC2
5548	PSMD7	PSMC3
5549	PSMD7	PSMD1
5551	PSMD7	PSMD13
5552	PSMD7	PSMD3
5553	PSMD7	PSMD4
5572	PSMD13	ANAPC5
5573	PSMD13	PSMB5
5575	PSMD13	PSMC2
5576	PSMD13	PSMC3
5577	PSMD13	PSMD1
5579	PSMD13	PSMD3
5580	PSMD13	PSMD4
5581	PSMD13	PSMD7
5602	PTK2	ABL1
5606	PTK2	CBLB
5607	PTK2	CRK
5608	PTK2	CRKL
5609	PTK2	CSK
5611	PTK2	ERBB2
5613	PTK2	FYN
5615	PTK2	GRB10
5616	PTK2	GRB2
5618	PTK2	JAK1
5622	PTK2	LYN
5623	PTK2	NCK2
5624	PTK2	PIK3R2
5627	PTK2	SHC1
5629	PTK2	SRC
5630	PTK2	STAT1
5631	PTK2	STAT2
5632	PTK2	STAT3
5634	PTK2	STAT5B
5679	PTPN12	APC
5680	PTPN12	CBL
5681	PTPN12	CBLB
5682	PTPN12	CRKL
5684	PTPN12	FYN
5685	PTPN12	GRB2
5687	PTPN12	JAK1
5689	PTPN12	LYN
5690	PTPN12	PRKAR1A
5692	PTPN12	SRC
5693	PTPN12	STAT1
5695	PTPN12	STAT5B
5696	PTPN12	STUB1
5698	PTPN12	WASL
5715	RAB5	AKT1
5716	RAB5	APPL2
5717	RAB5	CAV1
5718	RAB5	CTNNB1
5721	RAB5	EPS8
5722	RAB5	MAPK14
5725	RAB23	EPS8
5727	RAC1	SMAD3
5733	RACK1	FYN
5734	RACK1	GRB2
5735	RACK1	HRAS
5736	RACK1	NSMAF
5737	RACK1	PRKCA
5738	RACK1	PRKCB
5741	RACK1	RPL4
5742	RACK1	RPS13
5743	RACK1	SDC2
5744	RACK1	SHC1
5746	RACK1	SRC
5815	RAI	NFKB1
5816	RAI	RELA
5817	RAI	SP1
5818	RAI	TP53
5820	RAIDD	CASP2
5823	RAIDD	DAXX
5824	RAIDD	FADD
5825	RAIDD	GRB10
5826	RAIDD	NFKB1
5827	RAIDD	RIPK1
5828	RAIDD	TP53
5831	RAIDD	TRAF2
5832	RALBP1	ABL1
5834	RALBP1	CDC42
5835	RALBP1	CSK
5837	RALBP1	FYN
5839	RALBP1	JAK1
5843	RALBP1	LYN
5844	RALBP1	MTIF2
5846	RALBP1	RAC1
5847	RALBP1	RALB
5848	RALBP1	RAN
5849	RALBP1	RHOA
5852	RAN	HDAC1
5853	RAN	KPNA2
5854	RAN	KPNB1
5856	RAN	RANBP9
5857	RAN	RELA
5858	RAN	SUMO1
5859	RANBP9	GRB2
5877	RAP30	CCNH
5878	RAP30	CDK9
5879	RAP30	POLR2H
5880	RAP30	POLR2L
5883	RAP74	CDK9
5884	RAP74	POLR2H
5886	RB	FHL2
5887	RBBP7	HAT1
5909	RBL2	CCNB2
5911	RBL2	ETS1
5914	RBL2	RELA
5915	RBL2	SP1
5917	RBPSUH	CTBP1
5918	RBPSUH	CTBP2
5922	RBPSUH	FHL1
5923	RBPSUH	HDAC1
5924	RBPSUH	HDAC2
5925	RBPSUH	HES1
5929	RBPSUH	MAML1
5933	RBPSUH	NFKB1
5935	RBPSUH	NOTCH2
5936	RBPSUH	NOTCH3
5940	RBPSUH	SNW1
5941	RBPSUH	SPEN
5942	RBX1	ANAPC2
5944	RBX1	CUL1
5945	RBX1	FBXW7
5947	RBX1	ZNF259
5954	RELA	CTBP1
5956	RELA	FOS
5957	RELA	FYN
5958	RELA	G3BP2
5960	RELA	GRB2
5961	RELA	HDAC1
5962	RELA	HDAC2
5967	RELA	JUNB
5968	RELA	KPNA2
5970	RELA	PKN1
5971	RELA	PRKCI
5972	RELA	PSMD4
5973	RELA	RBL2
5978	RELA	SMAD3
5980	RELA	SP1
5981	RELA	SRC
5982	RELA	STAT1
5983	RELA	STAT3
5985	RELA	STAT5B
5988	RELA	TP53
6006	REQ	CASP7
6007	REQ	FADD
6008	REQ	FHL2
6009	REQ	SMARCE1
6016	RHOA	CAV1
6017	RHOA	PRKAR1A
6019	RHOA	SMAD1
6021	RHOA	SMAD3
6022	RHOA	TGFB1
6024	RIP2	AKT1
6025	RIP2	CDC42
6027	RIP2	PTK2
6028	RIP2	RAC1
6029	RIP2	RHOA
6032	RIP2	SRC
6036	RIPK1	CASP2
6040	RIPK1	DAXX
6041	RIPK1	ERBB2
6042	RIPK1	FADD
6043	RIPK1	FOS
6044	RIPK1	KRT18
6045	RIPK1	NFKB2
6047	RIPK1	STAT1
6050	RIPK1	TRAF2
6053	RKIP	CDK2
6054	RKIP	GSK3B
6055	RKIP	NFKB1
6056	RKIP	PRKCA
6057	RKIP	PRKCB
6064	RKIP	YY1
6065	RNF4	UBE2E1
6087	RPA5	POLR1B
6088	RPA5	POLR1D
6089	RPA5	POLR2H
6090	RPA5	POLR2L
6091	RPL4	ITGB4BP
6092	RPL4	KPNB1
6093	RPL4	LAMR1
6094	RPL4	RPL8
6097	RPL6	RPL8
6099	RPL8	EPS15
6100	RPL8	FYN
6101	RPL8	G3BP2
6102	RPL8	ITGB4BP
6103	RPL8	LAMR1
6105	RPL8	RPL4
6106	RPL8	RPL6
6108	RPS11	CCNB2
6124	RSK2	ETS1
6157	SAM68	CBL
6158	SAM68	CD44
6159	SAM68	CRK
6160	SAM68	CSK
6162	SAM68	FYN
6164	SAM68	GRB10
6165	SAM68	GRB2
6168	SAM68	LYN
6170	SAM68	PIK3R2
6172	SAM68	PRMT1
6174	SAM68	SRC
6175	SAM68	STAT3
6178	SAP97	CDK2
6180	SAP97	SRC
6181	SAP97	UBE3A
6182	SCF	APH1A
6184	SCF	BTRC
6185	SCF	CTNNB1
6186	SCF	CUL1
6187	SCF	FBXW7
6191	SCF	GSK3B
6192	SCF	RBX1
6193	SCF	SKP1
6194	SCF	SKP2
6195	SCF	UBE2L3
6209	SF1	APC
6210	SF1	PRKCI
6227	SHC1	ABL1
6229	SHC1	CSK
6231	SHC1	ERBB2
6233	SHC1	FYN
6234	SHC1	GRB2
6236	SHC1	JAK1
6240	SHC1	LYN
6241	SHC1	MET
6243	SHC1	PTK2
6245	SHC1	SRC
6290	SHP2	AKT1
6294	SHP2	ERBB2
6295	SHP2	FYN
6298	SHP2	GRB2
6299	SHP2	HRAS
6300	SHP2	JAK1
6303	SHP2	MET
6306	SHP2	PIK3R2
6307	SHP2	PTK2
6308	SHP2	PXN
6311	SHP2	STAT1
6312	SHP2	STAT3
6324	SINK	AKT1
6326	SINK	ATF2
6329	SINK	PPP2CA
6330	SINK	RELA
6347	SKP1	BTRC
6348	SKP1	CCNA2
6349	SKP1	CDK2
6350	SKP1	CDKN1A
6351	SKP1	CTNNB1
6352	SKP1	CUL1
6353	SKP1	FBXW7
6354	SKP1	NFKB1
6355	SKP1	PSMC2
6357	SKP1	RBX1
6358	SKP1	SKP2
6360	SMAD1	ANAPC5
6365	SMAD1	CDK2
6366	SMAD1	CDK4
6369	SMAD1	COPS3
6370	SMAD1	COPS5
6372	SMAD1	CSK
6373	SMAD1	CTNNB1
6374	SMAD1	DAB2
6375	SMAD1	DYRK1A
6377	SMAD1	ETS1
6378	SMAD1	FOS
6379	SMAD1	FOXO1A
6381	SMAD1	HGS
6383	SMAD1	JUNB
6386	SMAD1	NCK2
6387	SMAD1	NUP153
6389	SMAD1	PCAF
6390	SMAD1	PIAS3
6391	SMAD1	PIK3R2
6393	SMAD1	RAN
6395	SMAD1	RHOA
6399	SMAD1	SMAD3
6403	SMAD1	SP1
6404	SMAD1	STUB1
6407	SMAD1	TGFB1
6409	SMAD1	TGFBR2
6410	SMAD1	TP53
6412	SMAD1	VDR
6413	SMAD1	VIM
6509	SMAD3	ANAPC5
6516	SMAD3	CAMK2D
6517	SMAD3	CCND1
6518	SMAD3	CD44
6519	SMAD3	CDK4
6523	SMAD3	CLTC
6524	SMAD3	COPS5
6526	SMAD3	CRKL
6527	SMAD3	CSK
6528	SMAD3	CTNNB1
6529	SMAD3	DAB2
6530	SMAD3	DAXX
6531	SMAD3	DVL3
6532	SMAD3	DYRK1A
6535	SMAD3	ETS1
6536	SMAD3	FOS
6537	SMAD3	FOXO1A
6541	SMAD3	HD
6542	SMAD3	HDAC1
6543	SMAD3	HGS
6544	SMAD3	HIPK2
6547	SMAD3	JUNB
6549	SMAD3	KPNA2
6550	SMAD3	LAMR1
6555	SMAD3	NCK2
6556	SMAD3	NCOA3
6557	SMAD3	NOTCH2
6558	SMAD3	NUP153
6561	SMAD3	PCAF
6562	SMAD3	PIAS1
6563	SMAD3	PIAS4
6564	SMAD3	PIK3CD
6565	SMAD3	PIK3R2
6566	SMAD3	PLD2
6568	SMAD3	PRKCI
6570	SMAD3	RAC1
6571	SMAD3	RAN
6573	SMAD3	RELA
6574	SMAD3	RHOA
